x,y,z
0.0,0.0,0.0
-5.905972624875354,-9.540467767066632,3.429613978256108
-5.942296645791441,-9.53366568488246,3.433706195280441
-6.036076926814207,-9.61826393747103,3.470828922231247
-5.942958732954561,-9.405668857335344,3.4006756866584764
-6.133990912315904,-9.642369959836124,3.4930440502250777
-6.15374485853305,-9.608204856369982,3.4874903276307645
-6.136039727511052,-9.452351734226822,3.444521341875227
-6.228057641899619,-9.403449355058944,3.4474445882780027
-6.066062317091714,-9.037907892289788,3.3270148346523123
-6.085731111911318,-9.007369106637796,3.3226303178871537
-6.331688984333765,-9.309707643268514,3.441306027127188
-6.339692041596151,-9.260252103453418,3.4301985808024003
-6.073366279092811,-9.634992480979852,3.346904977711592
-6.14124206072152,-8.911603341193294,3.3080150208793264
-6.148138373492411,-9.68760047286789,3.3717155324069514
-6.215974759856111,-8.961083247939303,3.333445462149406
-6.140119867529467,-9.609673528415671,3.351134048370641
-6.339793847827328,-9.079973633537008,3.3848911836754447
-6.1591921564576335,-9.574652583432602,3.345495211367006
-6.478308401929978,-9.284915165090702,2.987062634180772
-6.282939159119529,-8.939987369727309,3.339876324245429
-6.205226512151586,-9.581480955999403,3.3545172086141672
-6.332980690022509,-8.95267974765954,3.3518606751279303
-6.076867946151347,-9.320485342131354,3.269653544098739
-6.365963682376036,-8.94099921562199,3.3547839238331982
-6.242842146696706,-9.511142435926132,3.343239769807042
-6.88132235681504,-9.671606466032763,3.131709040568222
-6.514246197592752,-9.090107370715202,3.4182139959331304
-6.641124753467895,-9.20736295063773,3.4699520175203307
-6.192682666376849,-9.309694437043245,3.28572414782179
-6.731702967337039,-9.272847503666693,3.502397688133932
-6.232959588240153,-9.308190498347132,3.291926610475248
-6.786072866536996,-9.287671110404332,3.5158437802179026
-6.315114061938922,-9.368581145805877,3.320120561597141
-6.7862071549786345,-9.228286589909864,3.501228484231769
-6.372378385999291,-9.391239844014368,3.335063444424761
-6.9413558000466535,-9.378842164464446,3.5664125992932108
-6.34542305811326,-9.290042166501715,3.306023584757493
-6.994661891367692,-9.39048090097518,3.578981787822145
-6.310296946066508,-9.178031887128489,3.273036706575432
-6.9136450654495,-9.288142490715408,3.054921332370101
